country,year,medals,iso3,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,gdi,gdi_group,gii,gii_rank,gnipc,hdi,hdi_f,ihdi,ineq_edu,ineq_inc,ineq_le,le,loss,mf,mmr,mys,phdi,pop_total,GDP (current US$),medals_per_capita,gdp per capita
Poland,2018,2,POL,10.579,8.724213105,8.272230217,14.25339367,15.92910004,1.012,,0.119,,35219.37507,0.884,0.887599853,0.809,4.93736,15.52555275,4.3537779,77.623,8.484162896,15.4405,1.865066995,13.07999992,0.758,38241070.5,594617000000.0,5.229979113686161e-08,15549.17245321362
Poland,2016,10,POL,12.343,8.39701939,8.56137606,13.91402715,16.62725067,1.01,,0.131,,31728.01276,0.884,0.886813298,0.807,5.44036,15.77275848,4.4710097,77.639,8.71040724,15.1269,1.982132269,13.0,0.761,38263265.0,473260000000.0,2.613472739453886e-07,12368.521086739462
Poland,2014,5,POL,13.612,8.024395498,9.3924432,13.63115693,16.20609093,1.01,,0.144,,29528.37437,0.873,0.8758724,0.789,4.70254,18.8413105,4.6334791,77.312,9.621993127,15.0639,2.165634482,12.84000015,0.754,38265113.0,542134000000.0,1.3066732613595051e-07,14167.84003747748
Poland,2012,3,POL,14.811,8.438809695,10.0266787,14.25260718,15.70232964,1.012,,0.151,,28176.81479,0.863,0.866604553,0.774,5.92843,19.29231071,4.8592954,76.775,10.31286211,15.8407,2.380444916,12.77999973,0.74,38247867.5,498149000000.0,7.843574546999254e-08,13024.229390043773
Poland,2010,6,POL,16.071,8.659205205,9.982276633,14.31924883,15.76898956,1.011,,0.17,,26546.56844,0.852,0.855772639,0.765,6.17621,18.6775322,5.0930877,76.282,10.21126761,15.5831,2.538139861,12.31000042,0.73,38095351.5,478112000000.0,1.5749953114358322e-07,12550.402639020143
Poland,1996,22,POL,20.917,9.824777779,,13.76146789,13.3831501,0.989,,0.221,,15128.02094,0.763,0.758274403,,,,,72.253,,13.3221,10.70060338,10.7335656,0.658,38359170.5,160813000000.0,5.735264791505332e-07,4192.296076892487
Poland,1992,18,POL,28.57,9.529121875,,12.70718232,12.16026974,0.983,,0.271,,11771.23087,0.724,0.71853796,,,,,70.9,,11.6338,15.01383909,10.04302659,0.632,38233640.0,94337050693.0,4.707895978515255e-07,2467.3834532364694
Poland,2008,7,POL,16.52,8.555063456,,14.6254459,15.38138008,1.005,,0.172,,25342.43837,0.841,0.842361991,,,,,75.583,,16.34,3.264353292,12.17000008,0.718,37995902.0,535612000000.0,1.842303941093437e-07,14096.572835670542
Poland,2006,2,POL,14.323,8.73156762,,13.35740072,15.38029957,1.005,,0.16,,22594.37552,0.831,0.832361518,,,,,75.25,,13.7511,4.3040545,11.92999999,0.72,38071167.0,345898000000.0,5.253319395226314e-08,9085.563360849957
Poland,2004,8,POL,14.575,8.389368008,,12.56097561,15.17918968,0.996,,0.157,,20430.88275,0.82,0.816716034,,,,,74.943,,12.8643,5.339284464,11.6899999,0.717,38167572.0,256269000000.0,2.0960201502993168e-07,6714.312348713195
Poland,2002,2,POL,15.723,7.920902778,,12.00980392,15.62158966,0.993,,0.163,,19314.82131,0.816,0.811750654,,,,,74.518,,12.3914,6.335244156,11.44999981,0.718,38229408.0,199694000000.0,5.231574603509424e-08,5223.570294366054
Poland,2000,8,POL,16.643,8.244565411,,12.85892634,14.89494991,0.992,,0.203,,18664.82661,0.801,0.796457725,,,,,73.645,,13.406,7.782659385,11.24283811,0.698,38258071.5,172954000000.0,2.0910620128879208e-07,4520.719242212718
Slovakia,2022,1,SVK,24.543,5.590584346,5.551026381,12.48568156,14.94684982,1.003,,0.178,,36462.09724,0.873,0.873856741,0.824,1.832241192,10.00818825,4.8126497,77.036,5.612829324,15.9035,4.824665876,13.10320397,0.764,5473196.5,115929000000.0,1.8270858720310882e-07,21181.223805869202
Slovakia,2020,4,SVK,25.975,5.709368021,5.318490178,12.57208766,14.56892014,0.996,,0.183,,35964.55827,0.867,0.864311533,0.821,1.74792,9.405584335,4.8019662,76.864,5.305651672,16.0646,4.824665876,13.00624316,0.758,5455023.5,107733000000.0,7.332690684100628e-07,19749.319136755323
Slovakia,2018,3,SVK,27.014,6.63880905,5.337320155,13.24884793,14.54144001,0.997,,0.194,,36342.58695,0.868,0.865289428,0.821,1.58711,9.589847565,4.8350029,77.265,5.414746544,16.0213,4.65017906,12.86999989,0.753,5443232.0,106612000000.0,5.511431443671701e-07,19586.15763575758
Slovakia,2016,4,SVK,26.163,6.437395177,6.31847475,13.0787037,14.67245007,0.993,,0.192,,34031.11893,0.864,0.859055137,0.808,1.44985,12.50293255,5.0026417,77.216,6.481481481,16.0436,5.114866063,12.71000004,0.751,5427259.0,90347173229.0,7.370202896158079e-07,16646.924944801787
Slovakia,2014,1,SVK,23.986,6.219719686,6.92849014,12.33993015,14.98192978,0.993,,0.191,,32526.34348,0.859,0.85479606,0.799,1.54747,13.99299622,5.2450042,76.848,6.984866123,14.9498,5.216547515,12.43999958,0.753,5415230.5,101713000000.0,1.8466434623604664e-07,18782.764648707012
Slovakia,2012,2,SVK,22.537,6.648441207,6.70468741,12.14953271,15.15810966,0.992,,0.189,,31580.78883,0.856,0.850640597,0.797,2.22124,12.63583183,5.2569904,76.176,6.892523364,13.9957,5.25491289,12.38000011,0.752,5404871.0,94724394278.0,3.700365836668442e-07,17525.745624271145
Slovakia,2010,4,SVK,23.32,7.127330988,5.85842574,12.92596945,15.26029968,0.995,,0.203,,31002.1909,0.851,0.847307719,0.801,1.95935,10.29799652,5.3179307,75.496,5.875440658,14.8774,5.089490694,12.27600002,0.741,5391851.0,91112160801.0,7.418602628299632e-07,16898.12288970893
Slovakia,2008,6,SVK,21.826,7.720886362,,15.08313539,15.14704037,0.998,,0.185,,31358.96733,0.842,0.839547331,,,,,74.864,,18.0598,5.883338936,11.82800007,0.715,5379120.5,100830000000.0,1.1154239805559292e-06,18744.69999324239
